"","RR3_HRT_FLT_F1","RR3_HRT_FLT_F2","RR3_HRT_FLT_F9","RR3_HRT_GC_G7","RR3_HRT_GC_G8"
"ENSMUSG00000000001",1246,1407,1904,1236,718
"ENSMUSG00000000003",0,0,0,0,0
"ENSMUSG00000000028",181,139,226,113,61
"ENSMUSG00000000031",247,117,158,919,35
"ENSMUSG00000000037",28,27,17,28,16
"ENSMUSG00000000049",23,66,51,13,11
"ENSMUSG00000000056",6391,7196,10476,5045,3792
"ENSMUSG00000000058",2754,2466,4025,2019,1024
"ENSMUSG00000000078",3472,4614,4589,2981,1712
"ENSMUSG00000000085",1863,1656,2588,1483,887
"ENSMUSG00000000088",25052,20706,38752,20127,11920
"ENSMUSG00000000093",192,199,237,111,115
"ENSMUSG00000000094",4,9,0,0,0
"ENSMUSG00000000103",0,0,0,0,0
"ENSMUSG00000000120",134,75,171,81,43
"ENSMUSG00000000125",0,0,0,0,0
"ENSMUSG00000000126",406,290,418,248,124
"ENSMUSG00000000127",1285,1172,2188,1093,589
"ENSMUSG00000000131",1001,662,1211,673,344
"ENSMUSG00000000134",700,552,970,545,307
"ENSMUSG00000000142",204,137,296,152,118
"ENSMUSG00000000148",562,515,696,393,225
"ENSMUSG00000000149",9806,9292,13012,7408,4467
"ENSMUSG00000000154",45,23,63,19,21
"ENSMUSG00000000157",1,0,0,0,0
"ENSMUSG00000000159",1,1,0,0,0
"ENSMUSG00000000167",17,17,28,19,11
"ENSMUSG00000000168",19848,17925,30559,15527,10790
"ENSMUSG00000000171",24258,21043,38120,19091,9887
"ENSMUSG00000000182",0,0,0,0,0
"ENSMUSG00000000183",68,89,127,55,62
"ENSMUSG00000000184",4915,4930,7742,4263,2871
"ENSMUSG00000000194",2550,2107,3587,1885,1251
"ENSMUSG00000000197",83,59,98,62,44
"ENSMUSG00000000202",0,0,0,0,0
"ENSMUSG00000000204",12,13,12,14,11
"ENSMUSG00000000214",0,26,19,5,14
"ENSMUSG00000000215",0,0,0,0,0
"ENSMUSG00000000216",5,0,0,0,0
"ENSMUSG00000000223",41,30,71,27,5
"ENSMUSG00000000244",17,13,16,13,1
"ENSMUSG00000000247",0,1,1,2,0
"ENSMUSG00000000248",1,0,0,0,0
"ENSMUSG00000000253",5116,4476,7706,4436,2448
"ENSMUSG00000000263",0,0,0,0,0
"ENSMUSG00000000266",1203,1566,2279,1411,650
"ENSMUSG00000000275",1948,1757,2415,1458,778
"ENSMUSG00000000276",1206,880,1669,775,508
"ENSMUSG00000000278",975,804,1141,746,334
"ENSMUSG00000000282",373,446,510,321,111
"ENSMUSG00000000290",397,380,709,387,199
"ENSMUSG00000000295",128,88,196,105,68
"ENSMUSG00000000296",314,356,554,414,154
"ENSMUSG00000000301",72,52,96,37,36
"ENSMUSG00000000303",18,0,13,1,0
"ENSMUSG00000000305",150,200,173,100,61
"ENSMUSG00000000308",43,47,103,32,24
"ENSMUSG00000000317",1079,710,1580,904,355
"ENSMUSG00000000318",95.9,66,176.44,74,15.58
"ENSMUSG00000000320",176,88,400,279,88
"ENSMUSG00000000326",7097,6858,9347,4690,2987
"ENSMUSG00000000339",889,804,1413,748,358
"ENSMUSG00000000340",5011,4576,8394,4407,2862
"ENSMUSG00000000346",7199.98,6407.29,11188.55,5962.02,3257.52
"ENSMUSG00000000355",660,610,1134,579,366
"ENSMUSG00000000359",462,262,601,282,148
"ENSMUSG00000000365",4,3,0,5,0
"ENSMUSG00000000374",4067,3516,6134,3209,2053
"ENSMUSG00000000378",888,702,1208,695,353
"ENSMUSG00000000381",0,0,0,0,0
"ENSMUSG00000000384",2492,2114.77,3661.59,1754.6,1005.5
"ENSMUSG00000000385",16,0,0,0,0
"ENSMUSG00000000386",26,0,21,12.31,13
"ENSMUSG00000000392",232,229,381,186,101
"ENSMUSG00000000394",0,0,0,0,0
"ENSMUSG00000000399",23667,19378,37229,18009,11024
"ENSMUSG00000000402",8,1,6,3,3
"ENSMUSG00000000409",158,39,34,70,0
"ENSMUSG00000000411",0,0,0,0,0
"ENSMUSG00000000416",50,65,72,50,21
"ENSMUSG00000000420",5490,5025,8937,4423,2876
"ENSMUSG00000000435",0,0,0,0,0
"ENSMUSG00000000439",2776,2266,4293,2088,1323
"ENSMUSG00000000440",513,733,796,342,148
"ENSMUSG00000000441",7198,5739,10892,5437,3308
"ENSMUSG00000000486",134,76,163,132,25
"ENSMUSG00000000489",1044,865,1332,871,386
"ENSMUSG00000000530",1701,1636,2452,1139,778
"ENSMUSG00000000531",247,256,337,199,119
"ENSMUSG00000000532",1014,1251,1504,872,511
"ENSMUSG00000000538",9358,9196,13814,7269,4894
"ENSMUSG00000000544",0,0,0,0,0
"ENSMUSG00000000552",217,245,190,142,109
"ENSMUSG00000000555",1891,2201,2537,1575,909
"ENSMUSG00000000560",0,3,0,0,0
"ENSMUSG00000000561",2239.15,1993.87,3273.7,1882.75,945.74
"ENSMUSG00000000562",14,12,29,19,7
"ENSMUSG00000000563",71801.64,62291.34,115096.11,59655.16,32966.49
"ENSMUSG00000000567",239,141,217,123,51
"ENSMUSG00000000568",1237,1207,1884,1109,646
"ENSMUSG00000000579",422.54,375.71,713.25,286.08,156.02
"ENSMUSG00000000581",1291,993,2081,1165,679
"ENSMUSG00000000594",1478,1412,2120,1123,681
"ENSMUSG00000000600",2048,1868,3325,1706,977
"ENSMUSG00000000605",3899,3486,5803,3339,1778
"ENSMUSG00000000606",0,0,0,0,0
"ENSMUSG00000000617",0,0,0,0,0
"ENSMUSG00000000627",15,30,15,13,0
"ENSMUSG00000000628",24334,23885,40136,20529,13159
"ENSMUSG00000000631",12877,12168,17284,9556,6302
"ENSMUSG00000000632",32,10,39,10,9
"ENSMUSG00000000673",4,12,8,16,0
"ENSMUSG00000000682",96,73,170,279,76
"ENSMUSG00000000686",108,133,164,46,39
"ENSMUSG00000000690",3,10,2,0,0
"ENSMUSG00000000693",279,286,358,177,111
"ENSMUSG00000000701",0,0,0,0,0
"ENSMUSG00000000706",0,1,0,0,0
"ENSMUSG00000000708",6494,5986,10237,5237,3306.99
"ENSMUSG00000000711",5754.57,5184.97,8869.77,4480.86,2585.78
"ENSMUSG00000000724",0,0,0,0,0
"ENSMUSG00000000730",5,7,10,6,0
"ENSMUSG00000000731",0,0,1,0,0
"ENSMUSG00000000732",328,385,438,299,148
"ENSMUSG00000000738",4011,3315,6336,3491,2072
"ENSMUSG00000000739",28,26,42,17,9
"ENSMUSG00000000740",11792.3,8395.96,15127.4,10008.02,4980.44
"ENSMUSG00000000743",1706,1467,2600,1449,748.99
"ENSMUSG00000000751",3391,2715,5008,2708,1537
"ENSMUSG00000000753",1657,1267,1697,1048,342
"ENSMUSG00000000759",1278,860,1690,860,469
"ENSMUSG00000000766",2,0,0,0,0
"ENSMUSG00000000776",755,752,1315,696,333
"ENSMUSG00000000782",169,56,29,69,27
"ENSMUSG00000000787",16606,15589,27110.48,13708,8358
"ENSMUSG00000000791",1,2,11,6,0
"ENSMUSG00000000792",7,2,2,1,1
"ENSMUSG00000000794",254,210,528,128,186
"ENSMUSG00000000804",2663,2709,4013,2125,1222
"ENSMUSG00000000805",990,1033,1363,635,246
"ENSMUSG00000000811",1074,1127,1715,843,515
"ENSMUSG00000000817",2,6,5,0,0
"ENSMUSG00000000823",1128,992,1572,808,471
"ENSMUSG00000000826",4115,3787,6507,3292,2229
"ENSMUSG00000000827",3368,2740,4880,2690,1550
"ENSMUSG00000000838",759.94,583.05,900.46,564.66,330.96
"ENSMUSG00000000861",268,239,332,248,117
"ENSMUSG00000000869",0,1,0,0,0
"ENSMUSG00000000876",1845,1889,2464,1477,786
"ENSMUSG00000000881",229,206,414,225,123
"ENSMUSG00000000884",175,133.91,284.68,144,126.35
"ENSMUSG00000000889",585,208,771,241,208
"ENSMUSG00000000901",470,336,627,300,147
"ENSMUSG00000000902",940,744,1371,752,507
"ENSMUSG00000000903",2,0,10,32,0
"ENSMUSG00000000915",1130,906,1537,813,451
"ENSMUSG00000000916",373,255,557,296,142
"ENSMUSG00000000934",316,275,476,289,121
"ENSMUSG00000000938",0,0,0,0,0
"ENSMUSG00000000942",16,4,12,4,24
"ENSMUSG00000000948",76.19,67.28,104.92,51.04,57
"ENSMUSG00000000957",1046,742,1391,681,366
"ENSMUSG00000000958",253,168,219,124,19
"ENSMUSG00000000959",5553,4911,8146,4058,2559
"ENSMUSG00000000976",776,693,1086,660,430
"ENSMUSG00000000982",2,0,6,2,0
"ENSMUSG00000000983",1,0,0,0,0
"ENSMUSG00000001014",45,16,62,8,12
"ENSMUSG00000001016",1842,1445,2718,1366,820
"ENSMUSG00000001017",3446,3141,5411,2837,1556
"ENSMUSG00000001018",1926,1657,2967,1680,1050
"ENSMUSG00000001020",332,243,465,273,167
"ENSMUSG00000001021",2,0,0,0,0
"ENSMUSG00000001023",0,0,0,0,0
"ENSMUSG00000001025",2305,1573,3288,1520,601
"ENSMUSG00000001027",3438,4875,4214,2608,1535
"ENSMUSG00000001029",1017,887,1097,640,297
"ENSMUSG00000001034",331,234,353,251,73
"ENSMUSG00000001036",2171,1923,2973,1711,855
"ENSMUSG00000001039",168,149,179,164,40
"ENSMUSG00000001052",1752,1815,2163,1175,796
"ENSMUSG00000001053",676,441,1036,376,174
"ENSMUSG00000001054",748,589,1144,597,357
"ENSMUSG00000001056",632,509,798,515,310
"ENSMUSG00000001062",1581,1252,1912,998,618
"ENSMUSG00000001065",582,489,803,540,350
"ENSMUSG00000001076",0,0,0,0,0
"ENSMUSG00000001082",288,249,335,165,108
"ENSMUSG00000001089",3972,3686,6255,2940,2075
"ENSMUSG00000001095",0,3,0,0,0
"ENSMUSG00000001098",2689,2205,3705,2187,1137
"ENSMUSG00000001100",6202,5211,9733,4962,3151
"ENSMUSG00000001103",0,0,0,0,0
"ENSMUSG00000001105",1079,744,1411,804,471
"ENSMUSG00000001119",6230,7406,7938,4501,2129
"ENSMUSG00000001120",119,130,153,101,29
"ENSMUSG00000001123",1490,1263,1739,1061,888
"ENSMUSG00000001127",3228,2645,5380,2720,1554
"ENSMUSG00000001128",250,214,343,229,76
"ENSMUSG00000001131",72,75,156,51,28
"ENSMUSG00000001134",1016.94,738.03,1638.98,806,431
"ENSMUSG00000001138",737,724,1014,600,282
"ENSMUSG00000001143",1011,1012,1520,857,471
"ENSMUSG00000001150",1522,1252,2264,1161,762
"ENSMUSG00000001151",5525,4802,8245,4292,2865
"ENSMUSG00000001155",2,4,17,20,0
"ENSMUSG00000001156",276,301,542,297,137
"ENSMUSG00000001157",312,268,440,263,217
"ENSMUSG00000001158",1916,1611,2997,1681,961
"ENSMUSG00000001166",29,33,49,10,27
"ENSMUSG00000001168",0,0,0,0,0
"ENSMUSG00000001173",1112,914,1426,937,430
"ENSMUSG00000001175",10264,9913,16270,9382,5698
"ENSMUSG00000001211",12128,11404,14918,8600,4865
"ENSMUSG00000001225",48,37,70,6,12
"ENSMUSG00000001227",291,618,430,263,150
"ENSMUSG00000001228",139,77,77.95,79,35
"ENSMUSG00000001229",2458,2206,3213,1735,1204
"ENSMUSG00000001240",1528.26,2031.49,1946.26,1110.45,544.18
"ENSMUSG00000001247",89,65,59,34,25
"ENSMUSG00000001248",1395,1181,1652,891,641
"ENSMUSG00000001249",124,153,135,117,55
"ENSMUSG00000001260",0,0,0,0,0
"ENSMUSG00000001270",2627.97,2145.99,3878.96,2382,1118
"ENSMUSG00000001280",3362,3626,5374,2861,1652
"ENSMUSG00000001281",47,53,79,103,43
"ENSMUSG00000001285",855.38,605.83,1069.77,634.61,344.16
"ENSMUSG00000001288",783,675,1123,618,398
