RR3_HRT_FLT_F1	RR3_HRT_FLT_F2	RR3_HRT_FLT_F9	RR3_HRT_GC_G7	RR3_HRT_GC_G8	gene_symbol
1246	1407	1904	1236	718	Gnai3
181	139	226	113	61	Cdc45
247	117	158	919	35	H19
28	27	17	28	16	Scml2
23	66	51	13	11	Apoh
6391	7196	10476	5045	3792	Narf
2754	2466	4025	2019	1024	Cav2
3472	4614	4589	2981	1712	Klf6
1863	1656	2588	1483	887	Scmh1
25052	20706	38752	20127	11920	Cox5a
192	199	237	111	115	Tbx2
4	9	0	0	0	Tbx4
134	75	171	81	43	Ngfr
406	290	418	248	124	Wnt9a
1285	1172	2188	1093	589	Fer
1001	662	1211	673	344	Xpo6
700	552	970	545	307	Tfe3
204	137	296	152	118	Axin2
562	515	696	393	225	Brat1
9806	9292	13012	7408	4467	Gna12
45	23	63	19	21	Slc22a18
1	0	0	0	0	Itgb2l
1	1	0	0	0	Igsf5
17	17	28	19	11	Pih1d2
19848	17925	30559	15527	10790	Dlat
24258	21043	38120	19091	9887	Sdhd
68	89	127	55	62	Fgf6
4915	4930	7742	4263	2871	Ccnd2
2550	2107	3587	1885	1251	Gpr107
83	59	98	62	44	Nalcn
12	13	12	14	11	Slfn4
0	26	19	5	14	Th
5	0	0	0	0	Scnn1g
41	30	71	27	5	Drp2
17	13	16	13	1	Tspan32
0	1	1	2	0	Lhx2
1	0	0	0	0	Clec2g
5116	4476	7706	4436	2448	Gmpr
1203	1566	2279	1411	650	Mid2
1948	1757	2415	1458	778	Trim25
1206	880	1669	775	508	Dgke
975	804	1141	746	334	Scpep1
373	446	510	321	111	Mnt
397	380	709	387	199	Itgb2
128	88	196	105	68	Hddc2
314	356	554	414	154	Tpd52l1
72	52	96	37	36	Pemt
18	0	13	1	0	Cdh1
150	200	173	100	61	Cdh4
43	47	103	32	24	Ckmt1
1079	710	1580	904	355	Bcl6b
95.9	66	176.44	74	15.58	Clec10a
176	88	400	279	88	Alox12
7097	6858	9347	4690	2987	Comt
889	804	1413	748	358	Rtca
5011	4576	8394	4407	2862	Dbt
7199.98	6407.29	11188.55	5962.02	3257.52	Dazap2
660	610	1134	579	366	Mcts1
462	262	601	282	148	Rem1
4	3	0	5	0	Rnf17
4067	3516	6134	3209	2053	Trappc10
888	702	1208	695	353	Ccm2
2492	2114.77	3661.59	1754.6	1005.5	Tbrg4
16	0	0	0	0	Tmprss2
26	0	21	12.31	13	Mx1
232	229	381	186	101	Fap
23667	19378	37229	18009	11024	Ndufa9
8	1	6	3	3	Egfl6
158	39	34	70	0	Lck
50	65	72	50	21	Cttnbp2
5490	5025	8937	4423	2876	Galnt1
2776	2266	4293	2088	1323	Mkrn2
513	733	796	342	148	Pparg
7198	5739	10892	5437	3308	Raf1
134	76	163	132	25	Septin1
1044	865	1332	871	386	Pdgfb
1701	1636	2452	1139	778	Acvrl1
247	256	337	199	119	Tamalin
1014	1251	1504	872	511	Acvr1b
9358	9196	13814	7269	4894	Tom1l2
217	245	190	142	109	Zfp385a
1891	2201	2537	1575	909	Itga5
0	3	0	0	0	Gabra2
2239.15	1993.87	3273.7	1882.75	945.74	Wdr77
14	12	29	19	7	Adora3
71801.64	62291.34	115096.11	59655.16	32966.49	Atp5pb
239	141	217	123	51	Sox9
1237	1207	1884	1109	646	Hnrnpd
422.54	375.71	713.25	286.08	156.02	Dynlt1c
1291	993	2081	1165	679	C1d
1478	1412	2120	1123	681	Gm2a
2048	1868	3325	1706	977	Krit1
3899	3486	5803	3339	1778	Clcn4
15	30	15	13	0	Sema4f
24334	23885	40136	20529	13159	Hk2
12877	12168	17284	9556	6302	Myo18a
32	10	39	10	9	Sez6
4	12	8	16	0	Haao
96	73	170	279	76	Cd52
108	133	164	46	39	Abhd15
3	10	2	0	0	Hoxb6
279	286	358	177	111	Loxl3
0	1	0	0	0	Btn1a1
6494	5986	10237	5237	3306.99	Kat2b
5754.57	5184.97	8869.77	4480.86	2585.78	Rab5b
5	7	10	6	0	Dnmt3l
0	0	1	0	0	Aire
328	385	438	299	148	Icosl
4011	3315	6336	3491	2072	Spg7
28	26	42	17	9	Sult5a1
11792.3	8395.96	15127.4	10008.02	4980.44	Rpl13
1706	1467	2600	1449	748.99	Chmp1a
3391	2715	5008	2708	1537	Rpa1
1657	1267	1697	1048	342	Serpinf1
1278	860	1690	860	469	Tubgcp3
2	0	0	0	0	Oprm1
755	752	1315	696	333	Polr3d
