"",gene_symbol,GSM4781322,GSM4781323,GSM4781324,GSM4781325,GSM4781326,GSM4781327,GSM4781328,GSM4781329
ENSG00000000003,TSPAN6,1942,1945,1937,1215,1455,1496,1188,1820
ENSG00000000005,TNMD,0,0,0,0,0,0,0,0
ENSG00000000419,DPM1,1336,1497,1327,1167,1008,1024,828,1295
ENSG00000000457,SCYL3,791,808,782,546,636,605,648,607
ENSG00000000460,C1orf112,1587,2222,1700,1372,1332,1564,1378,1700
ENSG00000000938,FGR,63,18,0,164,6,13,19,87
ENSG00000000971,CFH,15,19,15,5,6,31,68,0
ENSG00000001036,FUCA2,4731,4166,4596,3841,4136,3285,2641,4311
ENSG00000001084,GCLC,1414,1607,995,1143,1133,977,1067,712
ENSG00000001167,NFYA,1379,1565,1435,1376,1730,986,1129,974
ENSG00000001460,STPG1,594,582,434,961,506,388,447,781
ENSG00000001461,NIPAL3,2789,2398,2425,4544,1939,1994,2007,3551
ENSG00000001497,LAS1L,1901,1767,1301,1917,1323,1248,1504,1002
ENSG00000001561,ENPP4,17,38,19,9,18,19,7,12
ENSG00000001617,SEMA3F,8313,4017,4447,13708,4729,5299,4133,10623
ENSG00000001626,CFTR,0,0,0,0,18,53,0,0
ENSG00000001629,ANKIB1,5690,4933,3286,4077,3662,4276,4593,5709
ENSG00000001630,CYP51A1,4286,4200,3616,3936,3808,4662,4018,5010
ENSG00000001631,KRIT1,2870,3127,3114,2183,2625,2888,2828,1893
ENSG00000002016,RAD52,740,613,268,1131,432,930,781,1207
ENSG00000002330,BAD,1404,983,2127,1723,1524,963,871,1994
ENSG00000002549,LAP3,3122,2306,2074,3779,1692,2012,1424,5348
ENSG00000002586,CD99,7804,5531,7826,5692,6956,6417,5250,6250
ENSG00000002587,HS3ST1,24,14,11,26,17,13,16,9
ENSG00000002726,AOC1,1,2,0,0,0,2,0,0
ENSG00000002745,WNT16,4,0,0,0,7,5,0,2
ENSG00000002746,HECW1,16,39,19,211,38,29,81,21
ENSG00000002822,MAD1L1,2278,2578,1259,3023,1502,2397,2057,2036
ENSG00000002834,LASP1,13407,9208,10270,10691,8827,8980,7937,11531
ENSG00000002919,SNX11,851,960,699,1011,718,545,688,896
ENSG00000002933,TMEM176A,0,0,1,0,0,0,0,0
ENSG00000003056,M6PR,7154,7448,6327,6784,5950,5636,4826,9420
ENSG00000003096,KLHL13,448,324,445,166,352,353,336,157
ENSG00000003137,CYP26B1,14,6,9,28,6,4,3,8
ENSG00000003147,ICA1,204,182,106,169,159,107,107,34
ENSG00000003249,DBNDD1,1372,822,1252,1579,1069,602,542,2057
ENSG00000003393,ALS2,3439,4233,3074,3098,3025,2817,3429,2589
ENSG00000003400,CASP10,1270,1282,933,2886,1222,1312,1383,1337
ENSG00000003402,CFLAR,8411,8219,4908,10911,4943,7467,8954,8538
ENSG00000003436,TFPI,24251,24344,23548,8957,22038,18657,21789,9347
ENSG00000003509,NDUFAF7,779,1042,859,582,850,690,601,692
ENSG00000003756,RBM5,9059,10563,6473,8683,7394,7892,8973,11433
ENSG00000003987,MTMR7,11,3,25,1,4,63,2,0
ENSG00000003989,SLC7A2,759,831,882,574,963,568,495,606
ENSG00000004059,ARF5,2115,2027,2943,1754,2333,1710,1396,1869
ENSG00000004139,SARM1,402,242,196,174,357,291,137,266
ENSG00000004142,POLDIP2,3711,2872,3669,3788,2797,2223,1930,4697
ENSG00000004399,PLXND1,16822,14217,9760,9528,12224,16050,14618,9415
ENSG00000004455,AK2,5260,5494,4883,5096,4860,3969,3868,6083
ENSG00000004468,CD38,80,33,37,75,24,32,51,16
ENSG00000004478,FKBP4,3395,3007,3460,3398,3303,4519,2841,6346
ENSG00000004487,KDM1A,6290,6774,6479,3793,5764,4765,4280,4649
ENSG00000004534,RBM6,3660,4963,2508,3923,3291,3906,4269,3881
ENSG00000004660,CAMKK1,619,654,560,471,578,730,742,493
ENSG00000004700,RECQL,6999,6844,6291,5977,5735,4989,4155,7932
ENSG00000004766,VPS50,2472,2922,2226,1443,2104,2369,2592,1583
ENSG00000004776,HSPB6,2,2,4,7,30,9,2,6
ENSG00000004777,ARHGAP33,553,608,554,461,813,506,1024,118
ENSG00000004779,NDUFAB1,1586,1275,1954,1070,1595,1242,813,1614
ENSG00000004799,PDK4,2448,3268,3122,294,1777,6798,5526,1142
ENSG00000004809,SLC22A16,3,3,0,0,1,3,0,0
ENSG00000004838,ZMYND10,56,135,216,62,135,117,121,53
ENSG00000004846,ABCB5,56,46,19,41,22,46,53,25
ENSG00000004848,ARX,1,0,0,6,0,2,1,0
ENSG00000004864,SLC25A13,2298,2030,2104,1144,1459,1447,1887,1384
ENSG00000004866,ST7,1188,1233,886,1201,1053,1295,1103,1277
ENSG00000004897,CDC27,7639,7780,7098,4035,6531,8075,6706,3946
ENSG00000004939,SLC4A1,17,8,2,11,19,11,18,11
ENSG00000004948,CALCR,0,0,0,9,0,1,0,3
ENSG00000004961,HCCS,858,693,859,810,654,472,403,854
ENSG00000004975,DVL2,3801,3711,3097,3086,3487,3091,3780,3650
ENSG00000005001,PRSS22,1,0,0,0,0,1,1,0
ENSG00000005007,UPF1,6999,4955,4061,7741,4868,4552,4642,7983
ENSG00000005020,SKAP2,2943,3313,2654,2236,2954,2840,2395,2503
ENSG00000005022,SLC25A5,7874,7871,9879,7619,7691,5314,4883,8785
ENSG00000005059,MCUB,1512,1282,2228,1065,1487,1104,831,2140
ENSG00000005073,HOXA11,215,158,188,288,170,186,122,275
ENSG00000005075,POLR2J,1285,1071,1476,1280,1098,1039,751,1672
ENSG00000005100,DHX33,3352,2695,2581,3130,2928,1799,1914,3674
ENSG00000005102,MEOX1,2,0,0,1,0,0,0,0
ENSG00000005108,THSD7A,8,8,8,1,6,16,39,0
ENSG00000005156,LIG3,2169,2164,1564,2572,2135,2510,1672,2757
ENSG00000005175,RPAP3,1973,2679,1760,1396,1952,1675,1650,1578
ENSG00000005187,ACSM3,20,13,11,17,30,31,7,94
ENSG00000005189,REXO5,615,916,741,664,701,836,865,428
ENSG00000005194,CIAPIN1,2790,2719,2201,2682,2063,2058,1736,2962
ENSG00000005206,SPPL2B,2226,1433,1019,1970,1523,1720,1786,2305
ENSG00000005238,FAM214B,1382,806,821,2188,793,759,400,1807
ENSG00000005243,COPZ2,451,469,452,365,333,254,224,485
ENSG00000005249,PRKAR2B,60,75,61,46,34,45,32,64
ENSG00000005302,MSL3,836,893,816,811,900,947,800,891
ENSG00000005339,CREBBP,6007,6855,3449,4980,4616,5169,6328,4107
ENSG00000005379,TSPOAP1,78,12,15,4,82,193,198,6
ENSG00000005381,MPO,2,21,2,4,0,0,0,0
